manual_code,section_code,section_title,orig_start_page,orig_end_page,chapter_pdf_filename,chapter_total_pages,edition_id,source_pdf_sha256,source_pdf_page_count,anchor_p1_expected,anchor_p1_text_sha256,anchor_p1_image_phash,anchor_mid_expected,anchor_mid_text_sha256,anchor_mid_image_phash,anchor_last_expected,anchor_last_text_sha256,anchor_last_image_phash,page_numbering_type,blank_page_list,rotation_angles,validation_status,anchor_p1_actual,anchor_mid_actual,anchor_last_actual,mid_page_num
U435,11,PTO Systems,341,355,U435_11_PTO_Systems.pdf,15,U435_1985_EN_v1,489381a41ab43748e36af99ab4eeaced1b3d6bbcff337c01676d05d7361da9a0,1185,power take off,1ca50cbdc30d6c8bc66cf562efdb863e0892b850cc760ef0695f7930cc28f1ef,TBD,pto engagement,287e4c018fd6bc362ad0a9da555a76675f6473cd9c993b412de7f0f03591ccfd,TBD,pto speeds,d251b180a61a8283b05b871c73d37a2ad1e26d05d57f575829d8fe08a2c594e2,TBD,arabic,,0,PENDING,26.13 disassembly and assembly of auxiliary transmission sa 35 736 ur26- 0428/2 ur26-0428/l ur26-102,general 26.20 sa 35 737 lnstallation survey chassis pto transmission 540/1 000/ m in model sales ver,26·20 general sa 35 737 exploded · vlew ~~ 3 40w 336 103 en· gme· and pto transmission shaft 103 gas,348
U435,40,Wheels Prop Shafts,361,375,40_Wheels_Prop_Shafts.pdf,15,U435_1985_EN_v1,489381a41ab43748e36af99ab4eeaced1b3d6bbcff337c01676d05d7361da9a0,1185,driveshaft,a1a8e980e14e95f34824785e80770c37c1a3dd6cf1433c76330059e9a8047f7d,TBD,propeller shaft,939a93258e4b2ece0b88238842ddbdae4ff39dba8bc95112765ee03764761e9c,TBD,wheel nuts torque,54ed1d5ea503509d7593294a61700a6ac84a982956a22c2245d904e51ff136f6,TBD,arabic,,0,CRITICAL,removal and installation of pto transmission 26.20 sa 35 737 7 attach main battery cable. 8 fit body,26.20 disassembly and assembly of pto transmission sa 35 737 { 25 remove input shaft with selector f,disassembly and assembly of pto t ransmission 26.20 29 press roller bearing on to input shatt. 30 co,368
U435,33,Front Axle,381,410,33_Front_Axle.pdf,30,U435_1985_EN_v1,489381a41ab43748e36af99ab4eeaced1b3d6bbcff337c01676d05d7361da9a0,1185,front differential,120f38a109728bb29dbbc28efddc052b206830135100d508e6cc1a5c15a36542,TBD,front axle service,669428a05812cd68e0472e3b9e10ecec87df5eaa36153dedf97f2e5286f93c28,TBD,front diff oil,25139f9b79e2c114af4e7ce8cb0b5b155613f9ea6a7e85f9879376ceecd7bd59,TBD,arabic,,0,PENDING,"contents chapter general 1 nstallation survey general view sectional view, pto transmission shaft se",26.23 removal and installation of pto transmission sa 35 737 2.1/4 3 lnsert and tighten engine mount,disassembly and assembly of pto transmission 26.23 sa 35 737 30 coat both output shaft splines with ,395
U435,35,Rear Axle,421,450,35_Rear_Axle.pdf,30,U435_1985_EN_v1,489381a41ab43748e36af99ab4eeaced1b3d6bbcff337c01676d05d7361da9a0,1185,rear differential,be1dea3ced1b04197b03a1ecd1e35e6c4ca025b10af2c3a3f61d4f2c2252d463,TBD,rear axle service,8181f6d898e5f9f2f04899db5c47d91a38df2bdad6d08b0dd1380d7983c3ef10,TBD,rear diff oil,23f66b23ce0e35de0a91320bdc04e6ae5eeaacdf07760c2c8a27f83960575b30,TBD,arabic,,0,PENDING,"disassembly and assembly of fast pto 26.25 sa 35 925 disassembly remove fast pto, refer to 2.1/1. 2 ",pedal linkage 29 survey version clutch pedal 29.10 brakepedal 29.11 ukd 30 402 21 42-03,contents chapter general 1 nstallation survey general view exploded view 2 brake pedal for service b,435
U435,29,Pedal Linkage,450,464,29_Pedal_Linkage.pdf,15,U435_1985_EN_v1,489381a41ab43748e36af99ab4eeaced1b3d6bbcff337c01676d05d7361da9a0,1185,brake pedal,23f66b23ce0e35de0a91320bdc04e6ae5eeaacdf07760c2c8a27f83960575b30,TBD,pedal adjustment,aaeb03b47973f8b08fbd7fbd57c7ed88214cd0b451b77f0a5eb6eabd54b9ec8e,TBD,linkage adjustment,23f3f93f5a59762c75dbffc6cc1381f7dc5aa7654a86060339d022b52581bc16,TBD,arabic,,0,PENDING,contents chapter general 1 nstallation survey general view exploded view 2 brake pedal for service b,"removal and installation of brake pedal 29.11 removal, with linkage prop up engine hood. 2 drain com",exploded view 44l 28 @ ©26 27 @ 19 @ 17 ~42 e~ ~51 80 @82 84 ~57 55 ~ @~@----- 60 ® 66 ~ 62 38 @ ~ 7,457
U435,12,Front Axle Drive,468,515,U435_12_Front_Axle_Drive.pdf,48,U435_1985_EN_v1,489381a41ab43748e36af99ab4eeaced1b3d6bbcff337c01676d05d7361da9a0,1185,front axle,9527f6f788fa1f641deb35b9c9b1aab8246feb788384836dabe26423f256f3a1,TBD,front drive components,19c636d13f44496d9c25536481d1a98fdedbd0b31572e64598065e655ebf82ae,TBD,front axle shafts,cde6b2b31395ad201e8918c636bc8d3be140aae50b43828ab4eb05e2546dc0d1,TBD,arabic,,0,PENDING,workshop manual unimog 435 volume 2,springs and suspension 32 survey verston springs 435.115/117 32.6 springs 435.110/1111113/160/170 32,lnstallation notes: - only use repair kíts for repairing bearing mounts - grease all plaín beanngs w,491
U435,13,Rear Axle Drive,521,550,U435_13_Rear_Axle_Drive.pdf,30,U435_1985_EN_v1,489381a41ab43748e36af99ab4eeaced1b3d6bbcff337c01676d05d7361da9a0,1185,rear axle,0fa87a4a74b22aad833a182d03aebde7dcfdd74f2c1a31a512e212970488fbad,TBD,rear drive components,65dc6f6857981f4618e2713c18ca7751fba9744f0f60d4dbb919ee96bf3d3822,TBD,rear axle shafts,5a88f88af5f653a63b90edd36bdae7be81ee1392d4a787a17da910e695db22b2,TBD,arabic,,0,PENDING,general 33.3 737.2 lnstallation survey chass1s front axle model sales desígnation model sales des1gn,"adjusting axle orive 33.3 @ calc""lale shlm thlckness s , (small bearingj e lnstall outer bearing rac",disassembly and assembly of orive pinion bearing 33.3 2 press tapered roller bearing onto drive pini,535
U435,19,Front Wheel Hubs,555,568,U435_19_Wheel_Hub_Front.pdf,14,U435_1985_EN_v1,489381a41ab43748e36af99ab4eeaced1b3d6bbcff337c01676d05d7361da9a0,1185,front wheel hub drive,d85e8ceaa748fbb0c7dc6108baf0ed78a133aeb259fcb6bcbd9ba0e0a5e5b91c,TBD,front hub reduction,82c016e720f2c641af6b3ebb82e31a049bbd2e85afdaf1b02fd3791c2bb75ecf,TBD,front hub torque specs,ce328a4b7570dc7e392fe676d5e19bc24bcecd9867149005761b6c9b0dba31c5,TBD,arabic,,0,PENDING,disassembly and assembly of wheel hub drive 33.3 disassembly note: operatidns at left and right-hand,"disassembly and assembly of wheel hub drive 33.3 assembly using special tool no. 16, force needle be",33.3 disassembly and assembly of wheel hub drive 737.2 38 position sealing ring on wheel hub. 39 sli,561
U435,32,Front Suspension,569,595,32_Suspension.pdf,27,U435_1985_EN_v1,489381a41ab43748e36af99ab4eeaced1b3d6bbcff337c01676d05d7361da9a0,1185,front suspension,f85493488a667436e539a1c929f5033f81313934a6cb074c815e6f48cd10b131,TBD,suspension components,24776e584b969e1ed035b594461f055a24c194179d4359c9843a8a4b5c17bfe6,TBD,front stabilizer bar,8abfa9ba8e83a710a0e5966d2665279cc3e43f0c557c89da16b2092da063269f,TBD,arabic,,0,PENDING,contents chapter 1 general lnstallation survey technical data overaiiview ratios capacit1es frontaxl,33.6 general 737. 111 8reak-away torque for adjustment of drive pinion with otled tapar rollar beann,"13 slide special tool no. 16 onto drive pinion, coat torque tube flange with sealant no. 1, bolt and",582
U435,17,Rear Suspension,601,640,U435_17_Suspension.pdf,40,U435_1985_EN_v1,489381a41ab43748e36af99ab4eeaced1b3d6bbcff337c01676d05d7361da9a0,1185,rear suspension,0418dc0306c157a7a9cbb40c2c19cc644aa276f3706455f952197d825e2ac9b9,TBD,suspension adjustment,4a16f80b30a85c4f70df7ff9b60d84edc38d5e6787ca4e2fbb8c37c184e36ad9,TBD,torque tube,1b738a01c3ad0bcf9ed503a7d905c0ac52ff2bc496ce73f0f7ff5db909225fab,TBD,arabic,,0,PENDING,33.6 disassembly and assembly of differential 737.111 ur33-0472/1 ur33-0330 ur33-0330 5.1/2 8 rernov,general 35.3 747.2 sectional view 4 7 8 hu 3/1s-5.3 1 fixed caliper 7 orive pinion 2 wheel hub drive,35.3 disassembly and assembly of rear axle 747.2 9 disconnect axle tube at axle drive. 10 take diffe,620
